ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Attribute 5 name","Attribute 5 value(s)","Attribute 5 visible","Attribute 5 global","Attribute 6 name","Attribute 6 value(s)","Attribute 6 visible","Attribute 6 global","Attribute 7 name","Attribute 7 value(s)","Attribute 7 visible","Attribute 7 global"
733,simple,AQ0500,"AQUALAR pH9+ (0,5 L)",1,0,visible,,"This is mountain water which comes from 425m depth from unpolluted are in Bulgaria. The water comes with natural pressure up to the mountain.
\n<iframe style=""display: none;""></iframe>",,,taxable,,1,,,0,0,19.5,,,,1,,15.70247934,18.2231405,"Water > Natural Mineral Water","19L, AQUALAR, pH9+",,https://pickaqua.com/wp-content/uploads/2023/02/aqualar-ph9-19l.webp,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,simple,NO1500-1,"Novoterskaya Celebnaya (1,5L)",1,0,visible,,"Novoterskaya healing (from the village of Novotersky) - natural carbonated drinking mineral medicinal table water. Belongs to hydrocarbonate-sulfate calcium-sodium waters. On the southwestern slope of Mount Zmeyka, in the specially protected ecological resort region of Caucasian Mineral Waters, there is the Zmeykinskoye mineral water deposit, from where Novoterskaya Healing mineral water is extracted. Novoterskaya tselebnaya is captured from a depth of 1482 m. Novoterskaya water appeared on the domestic market quite recently - only in 1955. Novotersk mineral water is bottled by ZAO KavMinVody.
\n
\n<iframe style=""display: none;""></iframe>",,,taxable,,0,,,0,0,1.53,,,,1,,0.90909,1.06612,"Water > Natural Mineral Water",1.5L,,https://pickaqua.com/wp-content/uploads/2023/02/novoterskaya-celebnaya.webp,,,,,,,,,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,simple,GBS330,"Gorna Bania still (0,33L)",'-1,0,visible,,"Gorna Bania is an alkaline (pH9.8), low mineralized (TDS-143 mg/l) natural mineral water!
\n
\nThe taste is very light, very soft and with a hint of sweet.
\n
\nExcellent water for everyday use.
\nFor people who appreciate the power of nature and a high pH of 9.8.
\n
\nThe Water is born in Bulgaria with its own pressure from a depth of 600 meters.
\n
\nThis is a very rare, exclusive water.
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>",,,taxable,,0,,,0,0,,,,,1,,1.0331,1.145,"Water > Natural Mineral Water","0.33L, Gorna Bania, Still",,https://pickaqua.com/wp-content/uploads/2023/02/gbg330-1.png,,,,,,,,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,simple,GBS750,"Gorna Bania still (0,75L)",'-1,0,hidden,,"Gorna Bania is an alkaline (pH9.8), low mineralized (TDS-143 mg/l) natural mineral water!
\n
\nThe taste is very light, very soft and with a hint of sweet.
\n
\nExcellent water for everyday use.
\nFor people who appreciate the power of nature and a high pH of 9.8.
\n
\nThe Water is born in Bulgaria with its own pressure from a depth of 600 meters.
\n
\nThis is a very rare, exclusive water.
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>",,,taxable,,0,,,0,0,,,,,1,,1.4463,1.615,"Water > Natural Mineral Water","(0.75L), Gorna Bania, Still",,https://pickaqua.com/wp-content/uploads/2023/02/615da9a8e44c3869456491.png,,,,,,,,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,simple,AY1500,"AIRY pH10 (1,5L)",1,0,visible,,"AIRY pH10 is the most alkaline natural mineral water with low salinity (TDS-124mg/l) in the world!
\n
\nContains the health mineral silicon 28 mg/l.
\n
\nThe taste is very light and has a sweetish tinge.
\n
\nExcellent water for every day for people who appreciate the power of nature.
\n
\nWater emerges from the ground in an unpolluted area in Bulgaria from a depth of 700 meters.
\n
\nThis is a very rare, exclusive water, which is very rare in nature.
\n
\n<iframe style=""display: none;""></iframe>",,,taxable,,1,,,0,0,,,,,1,,,1.36,"Water > Natural Mineral Water","1.5L, AIRY pH10, pH10",,https://pickaqua.com/wp-content/uploads/2023/02/692ff1d50296c250948937.jpg,,,,,,,,,42,Minerals,134,1,0,"Info Performance",66,1,0,pH,9.97,1,0,Still,false,1,0,"Super Soft",1,1,0,El.cond.,180,1,0,"Jean (Virtual Water Sommelier)","Great natural mineral water\, it can be charactersied .......",1,0
1775,"simple, virtual",,Deposit,1,0,hidden,,"Deposit fee
\n
\n&nbsp;
\n
\n&nbsp;",,,none,,1,,,0,0,,,,,1,,,0.1,Deposit,,,https://pickaqua.com/wp-content/uploads/2023/03/72879226_1392783064487847_6387248634458934265_n-1.jpg,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044,simple,,"Radenska (1,5L)",1,0,visible,,"Radenska Natural Mineral Water, Carbonated<b> (with natural gas from the spring)</b> Slovenia, PET 1,5L
\n
\nExcellent rich water with balanced mineral content. Pleasant velvety taste, provided by natural gas from the water source. Natural gas (CO2) is a strong competitive factor that only very rare waters possess.
\n
\nRich in minerals. Total mineralisation 3064 mg/l. Rich in Calcium and Magnesium, ideal Ca + Mg ratio 2:1. Rich in hydrogen carbonate (HCO3), which is beneficial for the digestive system. Rich in Silicon (Si), a beauty mineral.
\n
\nRadenska is the perfect water for active lifestyles, athletes, pregnant women, after sweating and all those who love the true power of nature. It is an excellent water for replenishing the body with minerals and regaining strength after a long night.
\n
\nRadenska can be counted among the ""Must Drink"" waters.
\n
\n1L of Radenska replenishes the body's essential minerals, on average 20% of the daily intake of Na, Ca, and Mg.
\n
\nOne of the most popular natural mineral waters in the Balkans. Radenska has proven itself since 1869 with its excellent taste and balanced mineral composition. The natural origin of the mineral water is estimated to be 12 000 years old.
\n
\nFind out more about the properties of water in the PickAqua water choice app.
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>",,,taxable,,1,,,0,0,,,,,1,,,1.36,"Water > Natural Mineral Water","1.5L, Natural Mineral Water, PET, Radenska, Slovenia",,https://pickaqua.com/wp-content/uploads/2023/03/radenska.webp,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4616,simple,,"Narzan natural mineral water 0.5L glass GOLD",1,0,visible,,"&nbsp;
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>",,,taxable,,0,,,0,0,,,,,0,,,0.923,"Water > Natural Mineral Water",,,https://pickaqua.com/wp-content/uploads/2023/06/narzan-natural-mineral-water-05-gold.webp,,,,,,,,,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4623,simple,,"Narzan natural mineral water 0.5L glass SILVER",1,0,visible,,"&nbsp;
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>",,,taxable,,0,,,0,0,,,,,0,,,0.923,"Water > Natural Mineral Water",,,https://pickaqua.com/wp-content/uploads/2023/06/narzan-natural-mineral-water.webp,,,,,,,,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4629,simple,,"Narzan natural mineral water 1L PET GOLD",1,0,visible,,"&nbsp;
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>",,,taxable,,0,,,0,0,,,,,0,,,0.962,"Water > Natural Mineral Water",,,https://pickaqua.com/wp-content/uploads/2023/06/123.jpg,,,,,,,,,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4635,simple,,"Narzan natural mineral water 1L PET SILVER",1,0,visible,,"&nbsp;
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>",,,taxable,,0,,,0,0,,,,,0,,,0.962,"Water > Natural Mineral Water",,,https://pickaqua.com/wp-content/uploads/2023/06/narzan-natural-mineral-water-silver.webp,,,,,,,,,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5004,simple,,"Gemstone Vial Force of Nature",1,0,visible,"<strong>Malachite – Magnesite – Clear Quartz</strong>
\n
\nThese hand-picked stones have been used traditionally as powerful catalysts for transformation. Let them ignite the natural force inside of you and steer you with determination through any storm in life.","From time to time, we all struggle with the constant changes life confronts us with. At the same time we are gifted with a natural force inside of us that lets us deal with these challenges. Ignite that force with this mighty blend of Malachite, Magnesite and Clear Quartz.
\n
\nMalachite is the Stone of Transformation. It represents the beauty of flowers, trees, roots and plants. Their strength during constant transformation. Malachite helps to spark the life force inside of us. As Malachite cannot be used to prepare crystal elixirs by putting it directly into water, the VitaJuwel method is the only safe way to enjoy Crystal Water infused with powerful Malachite energy.
\n
\nMagnesite is revered as a powerful transformer by turning weaknesses into strengths. Magnesite is traditionally used to alleviate negative emotions such as fear, anger and grief while promoting positive qualities such as tenacity and endurance.
\n
\nClear Quartz is the Stone of Clarity. Its ability to focus, amplify, store and transform energy is unmatched. Clear Quartz is excellent for amplifying the energies of other stones. This is why nearly all of our crystal water blends contain Clear Quartz.
\n
\n&nbsp;
\n
\n&nbsp;
\n<div class=""additional-attributes-wrapper table-wrapper"">
\n<table id=""product-attribute-specs-table"" class=""data table additional-attributes"">
\n<tbody>
\n<tr>
\n<th class=""col label"" scope=""row"">EAN</th>
\n<td class=""col data"" data-th=""EAN"">4260228310299</td>
\n</tr>
\n<tr>
\n<th class=""col label"" scope=""row"">Comes With</th>
\n<td class=""col data"" data-th=""Comes With"">gemstone vial</td>
\n</tr>
\n<tr>
\n<th class=""col label"" scope=""row"">Dimensions &amp; Weight</th>
\n<td class=""col data"" data-th=""Dimensions &amp; Weight"">length ca. 35cm., diameter ca. 5cm</td>
\n</tr>
\n<tr>
\n<th class=""col label"" scope=""row"">Material</th>
\n<td class=""col data"" data-th=""Material"">borosilicate glass, gemstones</td>
\n</tr>
\n<tr>
\n<th class=""col label"" scope=""row"">Care</th>
\n<td class=""col data"" data-th=""Care"">handwash</td>
\n</tr>
\n</tbody>
\n</table>
\n</div>
\n&nbsp;
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>",,,taxable,,1,,,0,0,,,,,0,,,81.82,"Gadgets, Gadgets > Vials",,,"https://pickaqua.com/wp-content/uploads/2023/07/vial_force-of-nature_1000px.jpg, https://pickaqua.com/wp-content/uploads/2023/07/vial_force-of-nature_closeup_1000px.jpg, https://pickaqua.com/wp-content/uploads/2023/07/full_body_force-of-nature_1000px.jpg, https://pickaqua.com/wp-content/uploads/2023/07/era_forceofnature_1000px.jpg",,,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5025,simple,,"Gemstone Vial Aqualibrium",1,0,visible,"<strong>Peridot – Lapislazuli – Bergkristall </strong>
\n
\n<strong> </strong>LOVE WHAT YOU DRINK. Genieße frisches und lebendiges Edelsteinwasser wie frisch von der Quelle. Der nach alter Tradition handgefertigte Edelsteinstab belebt dein Trinkwasser und verleiht ihm einen unvergleichlich sanften Geschmack. Erfreue dich täglich am Glanz der handverlesenen Edelsteine und erschaffe dir damit deine eigene, kleine Wohlfühloase.
\n
\nAQUALIBRIUM. Bringe Körper und Geist in Balance mit dem unvergleichlichen Wasser der aqualibrium Kollektion – powered by Metabolic Balance, unserem Partner für eine dauerhaft gesunde Ernährung. Begleite dein individuelles Ernährungsprogramm mit dem frischen und lebendigen Wasser dieser Edelsteinmischung. Die fein aufeinander abgestimmten Steine fördern laut Steinheilkunde eine positive Lebenseinstellung und das Vertrauen in die eigenen Kräfte.","AQUALIBRIUM. Die fröhlich frische Kombination aus Peridot und Lapislazuli ist laut Steinheilkunde ein wahrer Booster für persönliche Neustarts und Projekte. Ob berufliche Veränderung oder persönliche Weiterentwicklung, aqualibrium wird dir dabei helfen, den ersten Schritt zu tun und deine Kräfte zu mobilisieren. Verwirkliche deine Ziele und lass dich dabei von einer positiven Lebenseinstellung und heiterer Gelassenheit tragen.
\n
\nQUALITÄT. Die VitaJuwel Edelsteinstäbe werden aus hochwertigem, schadstofffreiem Glas von Meisterhand in einem patentierten Herstellungsverfahren handgefertigt. Gefüllt werden die Glasphiolen ausschließlich mit fair gehandelten, handverlesenen und sorgfältig gereinigten Edelsteinen.
\n
\nGEBRAUCH. Befestige den Edelsteinstab einfach in der optional erhältlichen, mit Trinkwasser gefüllten Karaffe era oder dem Wasserspender grande und schon nach etwa 10 Minuten kannst du dein Edelsteinwasser genießen. Erlebe dabei den vorzüglichen Geschmack von Edelsteinwasser und eine Wasserqualität, die vergleichbar ist mit frischem, lebendigem Quellwasser.
\n
\nREINIGUNG. Für die Reinigung der Phiole verwendest du bitte lauwarmes Wasser und gegebenenfalls etwas Essigessenz oder Zitronensäure zur Entfernung von Kalkrückständen. Bitte beachte, dass die Glasphiole nicht spülmaschinenfest ist und hohe Temperaturunterschiede zu Spannungsrissen führen können.
\n
\nHYGIENE. Mit den Edelsteinstäben von VitaJuwel musst du die Steine nicht mehr direkt ins Trinkwasser legen. Somit kannst du sicher sein, dass keine Verunreinigungen oder Gesteinssplitter in dein Trinkwasser gelangen. Außerdem entfällt die aufwendige Reinigung der Edelsteine, bei der die Steine allmählich ihren Glanz verlieren und von Zeit zu Zeit ausgetauscht werden müssen. Mit den Glasphiolen von VitaJuwel kannst du dich dein Leben lang am Glanz der wertvollen Edelsteine erfreuen und dein Edelsteinwasser auf hygienische und nachhaltige Weise herstellen.
\n
\n&nbsp;
\n
\n&nbsp;
\n<div class=""additional-attributes-wrapper table-wrapper"">
\n<table id=""product-attribute-specs-table"" class=""data table additional-attributes"">
\n<tbody>
\n<tr>
\n<th class=""col label"" scope=""row"">EAN</th>
\n<td class=""col data"" data-th=""EAN"">4260228313436</td>
\n</tr>
\n<tr>
\n<th class=""col label"" scope=""row"">Comes With</th>
\n<td class=""col data"" data-th=""Comes With"">Edelsteinstab</td>
\n</tr>
\n<tr>
\n<th class=""col label"" scope=""row"">Dimensions &amp; Weight</th>
\n<td class=""col data"" data-th=""Dimensions &amp; Weight"">Höhe 350 mm | Durchmesser 50 mm</td>
\n</tr>
\n<tr>
\n<th class=""col label"" scope=""row"">Material</th>
\n<td class=""col data"" data-th=""Material"">Glas | Edelsteine</td>
\n</tr>
\n<tr>
\n<th class=""col label"" scope=""row"">Care</th>
\n<td class=""col data"" data-th=""Care"">Bitte per Hand mit lauwarmem Wasser reinigen.</td>
\n</tr>
\n</tbody>
\n</table>
\n</div>
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>",,,taxable,,1,,,0,0,,,,,0,,,114.88,"Gadgets, Gadgets > Vials",,,"https://pickaqua.com/wp-content/uploads/2023/07/1.jpg, https://pickaqua.com/wp-content/uploads/2023/07/2.jpg, https://pickaqua.com/wp-content/uploads/2023/07/3.jpg, https://pickaqua.com/wp-content/uploads/2023/07/4.jpg",,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5048,simple,,"Gemstone Vial Flower of Life",1,0,visible,"<strong>AMETHYST | AQUAMARINE | CLEAR QUARTZ</strong>
\n
\nThis crystal blend complements the spiritual FLOWER OF LIFE ornament that is engraved on our Era | Crystal Water Decanter FLOWER OF LIFE. Amethyst, Aquamarine and Clear Quartz act as door openers for enlightenment and a higher consciousness.
\n
\nVITALITY | MENTAL GROWTH | INNER BALANCE","This hand-crafted Gemstone Vial is perfect to infuse your drinking water with positive vibes. Naturopathic doctors use the vibrant energy of gems to prepare potent crystal elixirs for their therapies. We’ve reinterpreted this tradition and created holistic crystal blends for everyone to use. Designed in the German Alps. Made by master glass blowers in the Czech Republic.
\n
\nWe carefully chose the crystal blend to complement the deeply spiritual FLOWER OF LIFE ornament that is engraved on our Era | Crystal Water Decanter FLOWER OF LIFE. Amethyst is the stone of the crown chakra. Incredibly protective, healing and purifying, it is said to bring forth humility, sincerity and inner wisdom. Aquamarine is used to clear the mind, calm the heart and quiet the mind. The perfect meditation stone. Those two are certainly ranking amongst the top ten of the most used crystals. Together they act as powerful door openers for enlightenment and a higher consciousness.
\n
\n&nbsp;
\n
\n&nbsp;
\n<div class=""additional-attributes-wrapper table-wrapper"">
\n<table id=""product-attribute-specs-table"" class=""data table additional-attributes"">
\n<tbody>
\n<tr>
\n<th class=""col label"" scope=""row"">EAN</th>
\n<td class=""col data"" data-th=""EAN"">4260228313559</td>
\n</tr>
\n<tr>
\n<th class=""col label"" scope=""row"">Comes With</th>
\n<td class=""col data"" data-th=""Comes With"">gemstone vial</td>
\n</tr>
\n<tr>
\n<th class=""col label"" scope=""row"">Dimensions &amp; Weight</th>
\n<td class=""col data"" data-th=""Dimensions &amp; Weight"">length ca. 35cm., diameter ca. 5cm</td>
\n</tr>
\n<tr>
\n<th class=""col label"" scope=""row"">Material</th>
\n<td class=""col data"" data-th=""Material"">borosilicate glass, gemstones</td>
\n</tr>
\n<tr>
\n<th class=""col label"" scope=""row"">Care</th>
\n<td class=""col data"" data-th=""Care"">handwash</td>
\n</tr>
\n</tbody>
\n</table>
\n</div>
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>",,,taxable,,1,,,0,0,,,,,0,,,81.82,"Gadgets, Gadgets > Vials",,,"https://pickaqua.com/wp-content/uploads/2023/07/1-1.jpg, https://pickaqua.com/wp-content/uploads/2023/07/2-1.jpg, https://pickaqua.com/wp-content/uploads/2023/07/3-1.jpg, https://pickaqua.com/wp-content/uploads/2023/07/4-1.jpg",,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5069,simple,,"Gemstone Vial Jubilee Ayurveda",1,0,visible,"<div class=""product attribute overview"">
\n<div class=""value std"">
\n
\n<strong>milk opal - amethyst - clear quartz - lapis lazuli - garnet - carnelian - orange calcite</strong>
\n
\nDiscover the mysteries of Ancient Indian healing traditions with this exclusive blend. Our only wand with a unique curved surface.
\n
\n</div>
\n</div>","The word Ayurveda means ""science of life"" and is the traditional holistic system of Indian medicine. The more than 3000-year old concept also uses gems for therapeutic purposes. Ayurveda gem therapy claims that every gem has properties that can help to balance specific doshas and heal certain physical or emotional conditions.
\n
\n&nbsp;
\n
\nOur friend Walter von Holst, one of the most important representatives of modern crystal healing research, helped us create this blend with a focus on the seven basic Ayurvedic tissues.
\n
\nWith this unique, colorful blend we’d like to celebrate the increasing acceptance of alternative healing approaches in the tradition of Ayurveda and the concept of modern crystal healing, for which VitaJuwel stands like no other.
\n
\n&nbsp;
\n
\nThe elaborately curved shape of this one-of-a-kind gemstone vial perfectly sets the stage for the hand-picked selection of precious gems.
\n
\n&nbsp;
\n<div class=""additional-attributes-wrapper table-wrapper"">
\n<table id=""product-attribute-specs-table"" class=""data table additional-attributes"">
\n<tbody>
\n<tr>
\n<th class=""col label"" scope=""row"">EAN</th>
\n<td class=""col data"" data-th=""EAN"">4260228310244</td>
\n</tr>
\n<tr>
\n<th class=""col label"" scope=""row"">Crystal Virtues</th>
\n<td class=""col data"" data-th=""Crystal Virtues"">Inspiration, Clarity, Focus, Intuition, Imagination, Wisdom, Communication, Self-Expression, Openness, Love, Harmony, Balance, Self-Confidence, Willpower, Inner Strength, Sensuality, Sensitivity, Warmth, Self-Acceptance, Protection, Security</td>
\n</tr>
\n<tr>
\n<th class=""col label"" scope=""row"">Comes With</th>
\n<td class=""col data"" data-th=""Comes With"">gemstone vial</td>
\n</tr>
\n<tr>
\n<th class=""col label"" scope=""row"">Dimensions &amp; Weight</th>
\n<td class=""col data"" data-th=""Dimensions &amp; Weight"">length ca. 35cm., diameter ca. 5cm</td>
\n</tr>
\n<tr>
\n<th class=""col label"" scope=""row"">Material</th>
\n<td class=""col data"" data-th=""Material"">borosilicate glass, gemstones</td>
\n</tr>
\n<tr>
\n<th class=""col label"" scope=""row"">Care</th>
\n<td class=""col data"" data-th=""Care"">handwash</td>
\n</tr>
\n</tbody>
\n</table>
\n</div>
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>
\n
\n<iframe style=""display: none;""></iframe>",,,taxable,,1,,,0,0,,,,,0,,,123.14,"Gadgets, Gadgets > Vials",,,"https://pickaqua.com/wp-content/uploads/2023/07/1-31.jpg, https://pickaqua.com/wp-content/uploads/2023/07/1-2.jpg, https://pickaqua.com/wp-content/uploads/2023/07/2-2.jpg, https://pickaqua.com/wp-content/uploads/2023/07/3-2.jpg",,,,,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5085,simple,,"Gemstone Vial Wellness",1,0,visible,"<div class=""product attribute overview"">
\n<div class=""value std"">
\n
\n<strong>amethyst - rose quartz - clear quartz</strong>
\n
\nA hand-crafted glass wand with a selection of precious stones to vitalize your water. Our vials offer a lot more than just spiritual luxury. They are powerful instruments. Good for
\n
\nCALMING
\n
\nBALANCING
\n
\nRELAXING
\n
\n</div>
\n</div>","Our Gemstone Vials are traditionally hand-crafted in a patented, artisanal method by master glassblowers in Bohemia, using lead-free glass and hand-picked gems. They come in carefully selected gemstone blend variations, based on ancient crystal healing traditions.
\n
\nThis well-balanced composition has been used for several hundreds of years to inspirit water by countless people all around the world. Experts claim that amethyst stimulates the mind and soothes emotions. Rose Quartz fosters tranquility and harmony. Clear Quartz is a stone for clarity and perception. As a combination, they're used for their wonderfully invigorating effect. WELLNESS is the best “everyday water”. Most customers find it to taste smooth and mild. If you're unsure, with which VitaJuwel blend to start your collection, choose this one.
\n
\n&nbsp;
\n<div class=""additional-attributes-wrapper table-wrapper"">
\n<table id=""product-attribute-specs-table"" class=""data table additional-attributes"">
\n<tbody>
\n<tr>
\n<th class=""col label"" scope=""row"">EAN</th>
\n<td class=""col data"" data-th=""EAN"">4260228310015</td>
\n</tr>
\n<tr>
\n<th class=""col label"" scope=""row"">Crystal Virtues</th>
\n<td class=""col data"" data-th=""Crystal Virtues"">Inspiration, Clarity, Focus, Intuition, Imagination, Wisdom, Love, Harmony, Balance</td>
\n</tr>
\n<tr>
\n<th class=""col label"" scope=""row"">Comes With</th>
\n<td class=""col data"" data-th=""Comes With"">gemstone vial</td>
\n</tr>
\n<tr>
